Timestamp,size,gender,exp,tech,role,remote,paid,lastsalary,salary delta,deltapercent,comp,country,cost
3/5/2016 10:52:08,Very Small,Male,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,Yes,78000,78000,0,0%,"Medical benefits (partially paid to 100%), Equity, Bonuses",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/12/2016 17:18:37,Very Small,Female,I've been doing this for a few years (3 - 5 years),Yes,I'm in charge of the entire support operation,Yes,69000,69000,0,0%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/7/2016 13:35:43,Very Small,Female,I've been doing this for a few years (3 - 5 years),Kinda,I'm in charge of the entire support operation,No,65000,65000,0,0%,"Medical benefits (partially paid to 100%), Equity, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",US,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/28/2016 6:42:18,Very Small,Female,Support is a way of life! (5+ years),No,I'm in charge of the entire support operation,Yes,65000,65000,0,0%,Medical benefits (partially paid to 100%),usa,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/9/2016 10:02:53,Medium,Female,I'm new (1 - 2 years),No,I'm in charge of the entire support operation,Yes,60000,60000,0,0%,Nothing,,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/8/2016 15:15:42,Very Large ,Female,I'm new (1 - 2 years),Yes,I help customers,Yes,57945,57945,0,0%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",au,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/7/2016 5:53:51,Very Small,Female,I've been doing this for a few years (3 - 5 years),Kinda,I'm in charge of the entire support operation,No,55000,55000,0,0%,Medical benefits (partially paid to 100%),us,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/10/2016 15:49:00,Very Large ,Male,I've been doing this for a few years (3 - 5 years),Kinda,I help customers,No,55000,55000,0,0%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/12/2016 7:19:38,Small,Male,Support is a way of life! (5+ years),Yes,I help customers,No,54000,54000,0,0%,"Medical benefits (partially paid to 100%), Equity, Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/12/2016 7:11:57,Small,Male,Support is a way of life! (5+ years),Yes,I help customers,No,52000,52000,0,0%,"Medical benefits (partially paid to 100%), Equity",USA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 12:07:49,Very Small,Male,I've been doing this for a few years (3 - 5 years),Yes,I help customers,No,50000,50000,0,0%,Medical benefits (partially paid to 100%),USA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/6/2016 14:59:07,Medium,Male,Support is a way of life! (5+ years),Kinda,I lead a team (but I'm not head of support),No,50000,50000,0,0%,"Equity, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",nz,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/12/2016 14:24:14,Medium,Female,Support is a way of life! (5+ years),No,I'm in charge of the entire support operation,No,40000,40000,0,0%,Medical benefits (partially paid to 100%),USA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/10/2016 10:00:23,Small,Female,I'm new (1 - 2 years),Yes,I'm in charge of the entire support operation,No,40000,40000,0,0%,"Medical benefits (partially paid to 100%), Equity",US,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/7/2016 8:17:13,Very Small,Male,Support is a way of life! (5+ years),Yes,I help customers,Yes,37368,37368,0,0%,Nothing,USA,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/5/2016 8:47:24,Small,Male,Support is a way of life! (5+ years),Yes,I help customers,Yes,33000,33000,0,0%,Bonuses,pt,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/8/2016 14:54:45,Medium,Female,I've been doing this for a few years (3 - 5 years),Yes,I help customers,No,28842,28842,0,0%,"Medical benefits (partially paid to 100%), Equity",CA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 10:04:51,Very Small,Female,I've been doing this for a few years (3 - 5 years),No,I help customers,No,16000,16000,0,0%,Nothing,us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/12/2016 7:13:32,Medium,Male,Support is a way of life! (5+ years),Yes,I lead a team (but I'm not head of support),No,16000,16000,0,0%,Medical benefits (partially paid to 100%),ve,"$ (e.g. Manila, Delhi, Hanoi)"
3/23/2016 1:23:11,Very Small,Female,I'm new (1 - 2 years),Yes,I lead a team (but I'm not head of support),No,14093,14093,0,0%,Medical benefits (partially paid to 100%),gr,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/12/2016 12:14:08,Medium,Male,I've been doing this for a few years (3 - 5 years),Yes,I help customers,No,53955.6,53000.6,955,2%,"Amazing benefits (Uber puppies, free food, sabbaticals, etc)",NZ,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/7/2016 8:32:44,Small,Female,I've been doing this for a few years (3 - 5 years),Kinda,I help customers,Yes,83000,82000,1000,1%,Medical benefits (partially paid to 100%),us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/11/2016 12:26:59,Large (50 - 100),Male,Support is a way of life! (5+ years),Yes,I help customers,Yes,72000,71000,1000,1%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/7/2016 7:22:02,Very Small,Male,Support is a way of life! (5+ years),Yes,I lead a team (but I'm not head of support),No,52000,51000,1000,2%,"Medical benefits (partially paid to 100%), Bonuses",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 9:34:35,Small,Female,Support is a way of life! (5+ years),Kinda,I help customers,Yes,46000,45000,1000,2%,"Medical benefits (partially paid to 100%), Equity",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/5/2016 11:02:56,Mega (500+),Female,I've been doing this for a few years (3 - 5 years),Kinda,I lead a team (but I'm not head of support),No,33500,32500,1000,3%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",Ireland,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 11:52:36,Medium,Female,I've been doing this for a few years (3 - 5 years),Kinda,I lead a team (but I'm not head of support),No,42700,41400,1300,3%,"Medical benefits (partially paid to 100%), Equity",CA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/12/2016 9:21:32,Medium,Male,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,No,50000,48500,1500,3%,Medical benefits (partially paid to 100%),ca,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 10:39:09,Medium,Male,I've been doing this for a few years (3 - 5 years),Yes,I lead a team (but I'm not head of support),No,41500,40000,1500,4%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",ca,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/11/2016 12:43:35,Large (50 - 100),Male,I've been doing this for a few years (3 - 5 years),Kinda,I lead a team (but I'm not head of support),Yes,68800,67000,1800,3%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/5/2016 17:11:52,Small,Female,I've been doing this for a few years (3 - 5 years),Kinda,I help customers,No,49800,48000,1800,4%,Bonuses,US,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/12/2016 22:55:29,Medium,Male,I've been doing this for a few years (3 - 5 years),Yes,I lead a team (but I'm not head of support),No,92000,90000,2000,2%,"Medical benefits (partially paid to 100%), Equity",USA,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/28/2016 9:21:56,Small,Female,Support is a way of life! (5+ years),Yes,I help customers,Yes,77500,75500,2000,3%,Nothing,US,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/28/2016 11:14:01,Medium,Female,I've been doing this for a few years (3 - 5 years),Kinda,I help customers,Yes,77000,75000,2000,3%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/7/2016 10:57:09,Small,Male,Support is a way of life! (5+ years),Yes,I help customers,No,57000,55000,2000,4%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/7/2016 5:01:20,Small,Female,Support is a way of life! (5+ years),Kinda,I lead a team (but I'm not head of support),Yes,50000,48000,2000,4%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/6/2016 22:55:04,Small,Male,I've been doing this for a few years (3 - 5 years),Yes,I'm in charge of the entire support operation,No,44000,42000,2000,5%,Nothing,nl,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/10/2016 9:49:51,Small,Female,I've been doing this for a few years (3 - 5 years),No,I lead a team (but I'm not head of support),Yes,31000,29000,2000,6%,Medical benefits (partially paid to 100%),USA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/5/2016 7:45:10,Small,Male,I've been doing this for a few years (3 - 5 years),Yes,I lead a team (but I'm not head of support),No,43500,41300,2200,5%,"Medical benefits (partially paid to 100%), Equity",ca,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/11/2016 12:13:37,Very Large ,Female,I'm new (1 - 2 years),Kinda,I help customers,Yes,66500,64000,2500,4%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/14/2016 18:42:43,Large (50 - 100),Female,I'm new (1 - 2 years),Kinda,I lead a team (but I'm not head of support),Yes,65500,63000,2500,4%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/14/2016 5:40:09,Medium,Male,I've been doing this for a few years (3 - 5 years),Yes,I lead a team (but I'm not head of support),No,45000,42500,2500,6%,"Medical benefits (partially paid to 100%), Equity, Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/11/2016 8:27:28,Small,Male,Support is a way of life! (5+ years),Yes,I lead a team (but I'm not head of support),No,59600,56900,2700,5%,Medical benefits (partially paid to 100%),us,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/8/2016 10:09:27,Small,Female,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,No,98000,95000,3000,3%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",US,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/7/2016 7:54:34,Very Small,Female,I've been doing this for a few years (3 - 5 years),Kinda,I'm in charge of the entire support operation,No,90000,87000,3000,3%,"Medical benefits (partially paid to 100%), Equity, Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/11/2016 12:15:22,Large (50 - 100),Male,I've been doing this for a few years (3 - 5 years),Yes,I lead a team (but I'm not head of support),Yes,66000,63000,3000,5%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/6/2016 4:38:39,Small,Female,Support is a way of life! (5+ years),No,I lead a team (but I'm not head of support),Yes,65000,62000,3000,5%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",usa,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/10/2016 4:36:13,Very Large ,Female,I'm new (1 - 2 years),Kinda,I help customers,Yes,65000,62000,3000,5%,Medical benefits (partially paid to 100%),us,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/11/2016 12:27:56,Large (50 - 100),Male,I've been doing this for a few years (3 - 5 years),Yes,I help customers,Yes,63000,60000,3000,5%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/5/2016 7:23:11,Very Small,Female,I'm new (1 - 2 years),No,I help customers,Yes,55000,52000,3000,5%,"Medical benefits (partially paid to 100%), Equity, Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",Us,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/7/2016 13:58:04,Small,Female,I'm new (1 - 2 years),Kinda,I help customers,No,38000,35000,3000,8%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/12/2016 13:48:35,Large (50 - 100),Male,I've been doing this for a few years (3 - 5 years),Yes,I help customers,No,38000,35000,3000,8%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA ,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/5/2016 15:16:52,Very Large ,Female,I've been doing this for a few years (3 - 5 years),Yes,I help customers,Yes,60465,57235,3230,5%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",ca,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/12/2016 13:41:18,Medium,Female,Support is a way of life! (5+ years),Yes,I help customers,No,70000,66000,4000,6%,"Medical benefits (partially paid to 100%), Bonuses",USA,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/15/2016 6:20:35,Very Small,Female,I'm new (1 - 2 years),Kinda,I help customers,Yes,52000,48000,4000,8%,Bonuses,US,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/12/2016 12:00:27,Medium,Male,Support is a way of life! (5+ years),Yes,I help customers,No,56500,52000,4500,8%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",US,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/28/2016 11:52:42,Medium,Female,I've been doing this for a few years (3 - 5 years),Yes,I help customers,Yes,48000,43200,4800,10%,Nothing,US,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 21:11:33,Small,Male,I've been doing this for a few years (3 - 5 years),Kinda,I'm in charge of the entire support operation,Yes,75000,70000,5000,7%,"Medical benefits (partially paid to 100%), Bonuses",USA,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/14/2016 6:24:44,Small,Male,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,Yes,75000,70000,5000,7%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/26/2016 8:06:34,Large (50 - 100),Female,I'm new (1 - 2 years),Yes,I lead a team (but I'm not head of support),Yes,70000,65000,5000,7%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/12/2016 14:24:08,Very Small,Male,Support is a way of life! (5+ years),Kinda,I'm in charge of the entire support operation,No,70000,65000,5000,7%,"Medical benefits (partially paid to 100%), Bonuses",Us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/27/2016 10:25:56,Small,Male,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,No,69000,64000,5000,7%,Medical benefits (partially paid to 100%),US,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/9/2016 13:22:30,Small,Female,I've been doing this for a few years (3 - 5 years),Kinda,I help customers,No,55000,50000,5000,9%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/6/2016 14:46:01,Very Small,Female,I've been doing this for a few years (3 - 5 years),Yes,I'm in charge of the entire support operation,No,55000,50000,5000,9%,"Medical benefits (partially paid to 100%), Equity",USA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/29/2016 8:56:14,Small,Female,Support is a way of life! (5+ years),Yes,I lead a team (but I'm not head of support),No,55000,50000,5000,9%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/12/2016 7:21:26,Very Small,Male,I've been doing this for a few years (3 - 5 years),Yes,I help customers,No,50000,45000,5000,10%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 8:34:45,Very Small,Female,I'm new (1 - 2 years),Kinda,I help customers,No,45000,40000,5000,11%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",UK,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/14/2016 12:43:43,Very Small,Male,I've been doing this for a few years (3 - 5 years),Yes,I'm in charge of the entire support operation,No,57000,51500,5500,10%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/26/2016 4:26:30,Small,Female,I'm new (1 - 2 years),Kinda,I help customers,Yes,58000,52400,5600,10%,"Amazing benefits (Uber puppies, free food, sabbaticals, etc)",,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/12/2016 13:18:51,Medium,Male,I've been doing this for a few years (3 - 5 years),Yes,I lead a team (but I'm not head of support),No,85000,79000,6000,7%,"Medical benefits (partially paid to 100%), Bonuses",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/6/2016 11:32:11,Very Large ,Male,I've been doing this for a few years (3 - 5 years),Kinda,I lead a team (but I'm not head of support),Yes,75000,69000,6000,8%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",US,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 7:28:06,Very Large ,Female,I'm new (1 - 2 years),Yes,I help customers,No,66000,60000,6000,9%,"Medical benefits (partially paid to 100%), Equity, Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/5/2016 7:05:15,Small,Male,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,No,50000,44000,6000,12%,"Medical benefits (partially paid to 100%), Bonuses",nl,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/25/2016 13:30:02,Very Small,Male,I've been doing this for a few years (3 - 5 years),Yes,I'm in charge of the entire support operation,Yes,20000,14000,6000,30%,Nothing,BA,"$ (e.g. Manila, Delhi, Hanoi)"
3/7/2016 9:23:26,Very Small,Male,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,No,65441,59423,6018,9%,"Medical benefits (partially paid to 100%), Bonuses",ca,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/5/2016 8:27:50,Small,Male,Support is a way of life! (5+ years),Yes,I lead a team (but I'm not head of support),Yes,73000,66500,6500,9%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/6/2016 15:51:02,Small,Male,I've been doing this for a few years (3 - 5 years),Yes,I lead a team (but I'm not head of support),No,75000,68000,7000,9%,"Medical benefits (partially paid to 100%), Equity",,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/14/2016 21:34:30,Medium,Female,I've been doing this for a few years (3 - 5 years),Kinda,I help customers,No,75000,68000,7000,9%,"Medical benefits (partially paid to 100%), Equity, Bonuses",US,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/29/2016 8:45:59,Medium,Male,Support is a way of life! (5+ years),Yes,I help customers,Yes,70000,63000,7000,10%,"Medical benefits (partially paid to 100%), Equity, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",US,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/15/2016 11:53:19,Small,Male,I've been doing this for a few years (3 - 5 years),Yes,I'm in charge of the entire support operation,No,55000,48000,7000,13%,"Medical benefits (partially paid to 100%), Bonuses",us,"$$ (e.g. Tallinn, Warsaw, Bucharest, Santiago)"
3/6/2016 9:26:11,Small,Male,Support is a way of life! (5+ years),Yes,I help customers,No,122911,115681,7230,6%,"Equity, Bonuses",uk,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/6/2016 14:36:58,Small,Female,I'm new (1 - 2 years),Kinda,I help customers,No,53000,45000,8000,15%,"Medical benefits (partially paid to 100%), Equity, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",US,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/28/2016 7:40:38,Small,Female,I've been doing this for a few years (3 - 5 years),Kinda,I help customers,Yes,73100,65000,8100,11%,"Medical benefits (partially paid to 100%), Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/10/2016 18:16:18,Medium,Female,I've been doing this for a few years (3 - 5 years),Yes,I help customers,No,69000,60000,9000,13%,"Medical benefits (partially paid to 100%), Equity, Bonuses",,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/29/2016 10:01:32,Small,Female,I've been doing this for a few years (3 - 5 years),Kinda,I help customers,No,59600,50509,9091,15%,"Medical benefits (partially paid to 100%), Equity, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/26/2016 12:08:39,Small,Female,Support is a way of life! (5+ years),Yes,I lead a team (but I'm not head of support),No,56500,47000,9500,17%,"Medical benefits (partially paid to 100%), Equity, Bonuses",CAN,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/5/2016 7:45:13,Very Large ,Female,I've been doing this for a few years (3 - 5 years),No,I'm in charge of the entire support operation,No,130000,120000,10000,8%,"Medical benefits (partially paid to 100%), Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
